,Original,Configuration 1,Configuration 2,Configuration 3 ,Configuration 4,Configuration 5,Configuration 6,Configuration 7,Configuration 8,Configuration 9,Configuration 10,Configuration 11
max_depth,"None, 3, 4","None, 4,5","none, 4,5","none,4,5","non,5, 15","none, 5, 15","none, 15, 25","none, 5, 15","none, 5, 15","none, 5,15","5,15,25","5,15,25"
max_features,"none, 'auto'","none, 'Auto'","none, 'auto'","none, 'auto'","none, 'auto'","none, 'auto'","none, 'auto'","none, 'sqrt'","none, 'log2'","sqrt', 'log2'","none, log2","none, log2"
n_estimators,"75, 100, 125","75, 100, 125","20,50,75","100,125,200 ","75,100,125","100,125,200","100,125,200","100,125,200","100,125,200","100,125,200","100,125,200","75,100,125"
other:,NA,na,na,na,na,na,na,na,na,na,na,na
other:,NA,na,na,na,na,na,na,na,na,na,na,na
best_score,0.9450944546,0.9447274846,0.9421660606,0.9432629528,0.945460755,0.9469212689,0.9454614246,0.945827725,0.9461920164,0.945827725,0.9461900074,0.9432636224
best_params,,,,,,,,,,,,
max_depth,None,none,none,none,15,15,25,15,none,15,15,15
max_features,auto,auto,auto,auto,auto,auto,auto,sqrt,log2,log2,log2,log2
n_estimators,75,125,75,100,125,100,125,100,125,100,100,75